Pagina,Codigo,Pontos,Preco Normal,Preco Promocional,Desconto
108,72179,03 pt,"R$ 33,90",null,null
108,72178,03 pt,"R$ 33,90",null,null
109,23154,04 pt,R$ 47,null,"R$ 22,00"
109,23082,07 pt,"R$ 69,90",null,null
109,23153,05 pt,"R$ 51,40",null,null
109,23037,07 pt,"R$ 51,40",null,null
109,23081,05 pt,"R$ 69,90",null,null
109,109156,null,"R$ 22,00",null,null
109,109159,null,null,null,null
109,88103,null,null,null,null
109,87516,null,null,null,null
109,110810,null,null,null,null
110,113406,03 pt,"R$ 61,90",null,"R$ 13,40"
110,113407,06 pt,"R$ 18,90",null,null
110,121968,01 pt,"R$ 81,90",null,null
110,121965,08 pt,R$ 47,null,null
110,121958,04 pt,"R$ 32,90",null,null
110,121967,null,"R$ 13,40",null,null
111,100528,15 pt,"R$ 156,80",null,"R$ 13,40"
111,18978,03 pt,"R$ 69,90",null,null
111,137906,07 pt,"R$ 51,40",null,null
111,121970,05 pt,"R$ 74,90",null,null
